Name	PropCovLoci	Poly	Sample	AvCov	SDCov
3_6_6	0.67	1	4167	81.1	65.2
3_6_6	0.67	1	4193	66.3	57.8
3_6_6	0.67	1	4293	56.7	42.0
3_6_6	0.67	1	6245	88.0	73.1
3_6_6	0.67	1	6417	79.6	66.2
3_6_6	0.67	1	666	91.8	77.7
3_6_6	0.67	1	759	114.9	123.0
3_6_6	0.67	1	767	91.4	90.6
3_6_6	0.75	0	1292	25.1	0
3_6_6	0.75	0	1382	274.6	231.5
3_6_6	0.75	0	249	196.0	204.2
3_6_6	0.75	0	4043	312.3	295.3
3_6_6	0.75	0	4167	237.5	123.1
3_6_6	0.75	0	4193	94.6	38.4
3_6_6	0.75	0	4293	236.2	254.0
3_6_6	0.75	0	6245	408.0	396.4
3_6_6	0.75	0	6417	77.2	21.9
3_6_6	0.75	0	666	190.6	172.2
3_6_6	0.75	0	759	3.0	0
3_6_6	0.75	0	767	20.0	0
3_6_6	0.75	1	1292	30.4	25.0
3_6_6	0.75	1	1382	74.9	62.6
3_6_6	0.75	1	249	72.6	63.1
3_6_6	0.75	1	4043	122.2	100.4
3_6_6	0.75	1	4167	96.7	72.2
3_6_6	0.75	1	4193	69.7	61.4
3_6_6	0.75	1	4293	63.7	44.2
3_6_6	0.75	1	6245	99.7	82.4
3_6_6	0.75	1	6417	92.6	75.0
3_6_6	0.75	1	666	106.7	88.7
3_6_6	0.75	1	759	116.6	110.6
3_6_6	0.75	1	767	100.6	95.8
3_6_6	0.83	0	1292	243.1	188.2
3_6_6	0.83	0	1382	315.3	147.9
3_6_6	0.83	0	249	84.9	57.4
3_6_6	0.83	0	4043	235.7	264.7
3_6_6	0.83	0	4167	284.5	332.7
3_6_6	0.83	0	4193	620.4	172.6
3_6_6	0.83	0	4293	197.8	18.6
3_6_6	0.83	0	6245	86.1	73.2
3_6_6	0.83	0	6417	171.0	178.2
3_6_6	0.83	0	666	166.9	168.4
3_6_6	0.83	1	1292	33.7	28.4
3_6_6	0.83	1	1382	85.0	60.1
3_6_6	0.83	1	249	85.7	70.9
3_6_6	0.83	1	4043	136.7	104.0
3_6_6	0.83	1	4167	105.0	69.4
3_6_6	0.83	1	4193	75.8	55.6
3_6_6	0.83	1	4293	71.1	47.7
3_6_6	0.83	1	6245	109.5	85.0
3_6_6	0.83	1	6417	105.5	80.1
3_6_6	0.83	1	666	117.8	95.6
3_6_6	0.83	1	759	129.8	104.3
3_6_6	0.83	1	767	107.4	88.3
3_6_6	0.92	1	1292	34.5	27.0
3_6_6	0.92	1	1382	89.0	64.1
3_6_6	0.92	1	249	87.5	73.1
3_6_6	0.92	1	4043	140.8	112.7
3_6_6	0.92	1	4167	112.8	71.7
3_6_6	0.92	1	4193	77.7	60.1
3_6_6	0.92	1	4293	73.3	47.5
3_6_6	0.92	1	6245	111.7	86.3
3_6_6	0.92	1	6417	104.9	75.2
3_6_6	0.92	1	666	115.1	95.7
3_6_6	0.92	1	759	145.8	104.7
3_6_6	0.92	1	767	125.9	104.3
3_6_6	1.0	1	1292	36.5	26.6
3_6_6	1.0	1	1382	103.3	60.2
3_6_6	1.0	1	249	92.1	74.0
3_6_6	1.0	1	4043	146.1	102.5
3_6_6	1.0	1	4167	120.0	65.4
3_6_6	1.0	1	4193	81.2	50.3
3_6_6	1.0	1	4293	78.7	54.5
3_6_6	1.0	1	6245	110.3	82.4
3_6_6	1.0	1	6417	122.6	84.8
3_6_6	1.0	1	666	137.4	96.2
3_6_6	1.0	1	759	165.1	95.9
3_6_6	1.0	1	767	141.9	85.3
3_1_12	0.08	0	1292	17.4	16.8
3_1_12	0.08	0	1382	34.4	36.0
3_1_12	0.08	0	249	23.0	30.0
3_1_12	0.08	0	4043	33.3	49.3
3_1_12	0.08	0	4167	37.3	38.4
3_1_12	0.08	0	4193	40.3	37.3
3_1_12	0.08	0	4293	34.6	26.3
3_1_12	0.08	0	6245	37.1	47.6
3_1_12	0.08	0	6417	38.0	44.8
3_1_12	0.08	0	666	32.6	40.9
3_1_12	0.08	0	759	85.4	86.6
3_1_12	0.08	0	767	73.3	74.0
3_1_12	0.08	1	1292	35.4	21.5
3_1_12	0.08	1	1382	73.8	54.2
3_1_12	0.08	1	249	29.7	25.3
3_1_12	0.08	1	4043	76.3	80.5
3_1_12	0.08	1	4167	77.1	58.9
3_1_12	0.08	1	4193	70.4	45.0
3_1_12	0.08	1	4293	71.5	45.3
3_1_12	0.08	1	6245	41.5	47.5
3_1_12	0.08	1	6417	47.8	52.5
3_1_12	0.08	1	666	42.4	51.8
3_1_12	0.08	1	759	133.2	101.9
3_1_12	0.08	1	767	108.7	85.9
3_1_12	0.17	0	1292	18.5	18.3
3_1_12	0.17	0	1382	33.8	34.5
3_1_12	0.17	0	249	33.7	38.1
3_1_12	0.17	0	4043	57.3	68.0
3_1_12	0.17	0	4167	45.9	45.3
3_1_12	0.17	0	4193	41.0	38.6
3_1_12	0.17	0	4293	37.4	29.5
3_1_12	0.17	0	6245	43.3	55.7
3_1_12	0.17	0	6417	51.9	48.9
3_1_12	0.17	0	666	43.7	47.7
3_1_12	0.17	0	759	110.6	97.9
3_1_12	0.17	0	767	98.5	100.2
3_1_12	0.17	1	1292	20.0	19.2
3_1_12	0.17	1	1382	40.5	45.3
3_1_12	0.17	1	249	30.5	36.1
3_1_12	0.17	1	4043	54.9	65.7
3_1_12	0.17	1	4167	39.5	41.8
3_1_12	0.17	1	4193	47.1	43.4
3_1_12	0.17	1	4293	37.7	30.1
3_1_12	0.17	1	6245	42.4	54.3
3_1_12	0.17	1	6417	43.9	48.5
3_1_12	0.17	1	666	39.0	47.3
3_1_12	0.17	1	759	109.5	92.2
3_1_12	0.17	1	767	94.7	80.5
3_1_12	0.25	0	1292	16.4	15.5
3_1_12	0.25	0	1382	38.0	34.8
3_1_12	0.25	0	249	40.4	47.0
3_1_12	0.25	0	4043	54.0	59.1
3_1_12	0.25	0	4167	43.4	44.8
3_1_12	0.25	0	4193	53.0	48.7
3_1_12	0.25	0	4293	48.7	36.0
3_1_12	0.25	0	6245	40.7	46.2
3_1_12	0.25	0	6417	50.6	56.1
3_1_12	0.25	0	666	61.0	60.5
3_1_12	0.25	0	759	67.9	110.9
3_1_12	0.25	0	767	70.5	96.9
3_1_12	0.25	1	1292	20.9	20.9
3_1_12	0.25	1	1382	41.1	43.7
3_1_12	0.25	1	249	36.9	41.3
3_1_12	0.25	1	4043	63.7	77.0
3_1_12	0.25	1	4167	43.0	45.9
3_1_12	0.25	1	4193	48.5	46.9
3_1_12	0.25	1	4293	38.6	31.2
3_1_12	0.25	1	6245	47.9	57.3
3_1_12	0.25	1	6417	48.3	52.3
3_1_12	0.25	1	666	46.8	52.8
3_1_12	0.25	1	759	103.9	96.1
3_1_12	0.25	1	767	89.9	86.7
3_1_12	0.33	0	1292	23.5	16.5
3_1_12	0.33	0	1382	43.9	25.1
3_1_12	0.33	0	249	64.5	65.2
3_1_12	0.33	0	4043	120.1	150.1
3_1_12	0.33	0	4167	65.9	83.5
