Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
5_12_12	0.92	575	575	1.0	27.6	10.5	0.11759	0.04463	0.06173	0.04034	855	855	1.0	27.3	10.7	0.1167	0.04545	0.06204	0.03952
5_12_12	0.83	1158	1157	1.0	25.7	10.3	0.10957	0.04404	0.07338	0.04633	2013	2012	1.0	26.4	10.5	0.1126	0.04477	0.06856	0.04392
5_12_12	0.75	1603	1601	1.0	24.4	9.8	0.10434	0.0421	0.07675	0.04334	3616	3613	1.0	25.5	10.2	0.10894	0.0438	0.07219	0.04385
5_12_12	0.67	2064	2062	1.0	22.4	9.6	0.09597	0.04123	0.07648	0.05598	5680	5675	1.0	24.4	10.1	0.10423	0.04333	0.07375	0.04865
5_12_12	0.58	2742	2740	1.0	20.3	8.9	0.08721	0.03847	0.07696	0.05734	8422	8415	1.0	23.0	9.9	0.09869	0.04256	0.07479	0.05166
5_12_12	0.5	3392	3385	1.0	17.8	8.3	0.07645	0.03606	0.07745	0.06559	11814	11800	1.0	21.5	9.8	0.09231	0.04202	0.07556	0.05602
5_12_12	0.42	4520	4503	1.0	15.0	7.7	0.06483	0.03332	0.07821	0.07665	16334	16303	1.0	19.7	9.7	0.08472	0.04166	0.07629	0.06241
5_12_12	0.33	6294	6247	0.99	12.2	7.0	0.05283	0.0303	0.07577	0.08946	22628	22550	1.0	17.6	9.6	0.07588	0.04138	0.07615	0.07094
5_12_12	0.25	10162	9917	0.98	9.2	5.9	0.0403	0.02573	0.07676	0.1127	32790	32467	0.99	15.0	9.5	0.06501	0.04075	0.07633	0.08588
5_12_12	0.17	24716	21729	0.88	5.6	4.3	0.0248	0.01939	0.08013	0.15754	57506	54196	0.94	11.2	9.1	0.04889	0.03916	0.07786	0.11988
5_12_12	0.08	98205	6436	0.07	2.3	2.5	0.01037	0.01146	1.0	0.0	155711	60632	0.39	10.3	9.1	0.0448	0.03906	0.17574	0.30583
5_10_10	1.0	280	280	1.0	26.2	10.6	0.11243	0.04555	0.06128	0.03422	280	280	1.0	26.2	10.6	0.11243	0.04555	0.06128	0.03422
5_10_10	0.92	557	557	1.0	27.4	10.2	0.11658	0.04348	0.06064	0.03764	837	837	1.0	27.0	10.4	0.1152	0.0442	0.06085	0.03651
5_10_10	0.83	1165	1162	1.0	25.5	9.9	0.10883	0.04219	0.07392	0.04864	2002	1999	1.0	26.2	10.1	0.1115	0.04315	0.06845	0.04443
5_10_10	0.75	1579	1578	1.0	24.1	9.7	0.1029	0.0418	0.07719	0.04619	3581	3577	1.0	25.2	10.0	0.10771	0.04277	0.0723	0.04541
5_10_10	0.67	2112	2110	1.0	22.0	9.3	0.09446	0.04018	0.07685	0.05574	5693	5687	1.0	24.0	9.9	0.10279	0.04231	0.07399	0.04954
5_10_10	0.58	2767	2764	1.0	19.8	8.6	0.08522	0.03698	0.07729	0.06008	8460	8451	1.0	22.7	9.7	0.09705	0.04147	0.07507	0.05324
5_10_10	0.5	3453	3446	1.0	17.4	8.1	0.0751	0.03483	0.07777	0.06451	11913	11897	1.0	21.1	9.5	0.09069	0.04089	0.07585	0.05674
5_10_10	0.42	4551	4536	1.0	14.7	7.5	0.06363	0.03276	0.0774	0.07451	16464	16433	1.0	19.4	9.5	0.08322	0.04066	0.07628	0.06216
5_10_10	0.33	6393	6346	0.99	11.9	6.8	0.05179	0.0296	0.07653	0.08891	22857	22779	1.0	17.3	9.4	0.07446	0.04044	0.07635	0.07064
5_10_10	0.25	10328	10076	0.98	9.0	5.7	0.03935	0.025	0.07807	0.11392	33185	32855	0.99	14.7	9.3	0.0637	0.03984	0.07688	0.08625
5_10_10	0.17	25314	22212	0.88	5.4	4.1	0.02404	0.01852	0.07988	0.15807	58499	55067	0.94	11.0	8.9	0.0477	0.03826	0.07809	0.12049
5_10_10	0.08	101325	6636	0.07	2.3	2.4	0.01034	0.01112	1.0	0.0	159824	61703	0.39	10.0	8.9	0.04368	0.03813	0.17724	0.30747
7_1_12	1.0	229	229	1.0	26.6	11.6	0.11187	0.04693	0.05996	0.03458	229	229	1.0	26.6	11.6	0.11187	0.04693	0.05996	0.03458
7_1_12	0.92	523	523	1.0	27.3	11.4	0.11562	0.04903	0.06016	0.04759	752	752	1.0	27.1	11.5	0.11448	0.0484	0.0601	0.04402
7_1_12	0.83	1108	1106	1.0	25.4	10.1	0.10813	0.04315	0.06928	0.04908	1860	1858	1.0	26.1	10.7	0.1107	0.04544	0.06557	0.0473
7_1_12	0.75	1571	1569	1.0	23.8	10.1	0.10168	0.04347	0.07082	0.04847	3431	3427	1.0	25.0	10.5	0.10657	0.04477	0.06797	0.0479
7_1_12	0.67	2159	2158	1.0	21.9	9.4	0.09386	0.04025	0.06784	0.05175	5590	5585	1.0	23.8	10.2	0.10166	0.04352	0.06792	0.04942
7_1_12	0.58	2886	2886	1.0	20.0	9.0	0.08581	0.0387	0.0664	0.05483	8476	8471	1.0	22.5	10.0	0.09626	0.04261	0.0674	0.05133
7_1_12	0.5	3856	3850	1.0	17.6	8.3	0.07609	0.03579	0.0671	0.06364	12332	12321	1.0	21.0	9.7	0.08996	0.04166	0.06731	0.05547
7_1_12	0.42	5038	5023	1.0	14.7	7.5	0.06343	0.03262	0.06492	0.06893	17370	17344	1.0	19.2	9.6	0.08227	0.04106	0.06662	0.05969
7_1_12	0.33	7062	7018	0.99	12.1	6.9	0.05259	0.02996	0.06301	0.08238	24432	24362	1.0	17.1	9.5	0.07372	0.04049	0.06558	0.06704
7_1_12	0.25	10905	10647	0.98	9.1	5.8	0.03982	0.02555	0.06077	0.10092	35337	35009	0.99	14.7	9.3	0.06341	0.03978	0.06412	0.07893
