Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
7_6_10	1.0	90	90	1.0	15.5	4.4	0.06682	0.01922	0.0638	0.0374	90	90	1.0	15.5	4.4	0.06682	0.01922	0.0638	0.0374
7_6_10	0.92	138	138	1.0	15.7	4.2	0.0683	0.01863	0.06356	0.05217	228	228	1.0	15.6	4.3	0.06772	0.01884	0.06365	0.04681
7_6_10	0.83	389	388	1.0	15.4	4.2	0.06609	0.01815	0.07947	0.05953	617	616	1.0	15.5	4.2	0.06669	0.01841	0.07362	0.05565
7_6_10	0.75	653	651	1.0	14.9	4.7	0.06388	0.02039	0.08133	0.06347	1270	1267	1.0	15.2	4.5	0.06525	0.01949	0.07758	0.0599
7_6_10	0.67	1006	1004	1.0	14.6	4.7	0.06263	0.02035	0.08043	0.06081	2276	2271	1.0	15.0	4.6	0.06409	0.01991	0.07884	0.0603
7_6_10	0.58	1495	1493	1.0	14.2	4.8	0.06126	0.02076	0.07938	0.06262	3771	3764	1.0	14.7	4.7	0.06297	0.0203	0.07905	0.06122
7_6_10	0.5	2400	2395	1.0	13.5	4.9	0.05818	0.02122	0.08123	0.07315	6171	6159	1.0	14.2	4.8	0.0611	0.02079	0.0799	0.06612
7_6_10	0.42	3591	3579	1.0	12.2	5.1	0.05266	0.02235	0.07637	0.0741	9762	9738	1.0	13.5	5.0	0.058	0.02176	0.0786	0.06918
7_6_10	0.33	5628	5581	0.99	10.6	5.3	0.04592	0.02312	0.07705	0.09033	15390	15319	1.0	12.4	5.3	0.0536	0.02301	0.07804	0.07755
7_6_10	0.25	9596	9354	0.97	8.5	5.0	0.03718	0.02189	0.07621	0.11293	24986	24673	0.99	10.9	5.5	0.04738	0.02395	0.07735	0.09258
7_6_10	0.17	24039	21175	0.88	5.4	4.0	0.02394	0.01789	0.08104	0.15963	49025	45848	0.94	8.4	5.6	0.03655	0.02435	0.07905	0.128
7_6_10	0.08	92533	6622	0.07	2.1	2.0	0.00954	0.00912	1.0	0.0	141558	52470	0.37	7.6	5.7	0.03314	0.02468	0.19528	0.3284
7_10_6	1.0	58	58	1.0	13.3	4.0	0.05788	0.01762	0.05898	0.03459	58	58	1.0	13.3	4.0	0.05788	0.01762	0.05898	0.03459
7_10_6	0.92	88	88	1.0	14.0	3.5	0.06013	0.01523	0.06346	0.03276	146	146	1.0	13.7	3.7	0.05923	0.0162	0.06168	0.03345
7_10_6	0.83	306	303	0.99	13.7	3.8	0.05844	0.01642	0.07627	0.06159	452	449	0.99	13.7	3.7	0.0587	0.01634	0.07153	0.05446
7_10_6	0.75	501	499	1.0	12.9	4.0	0.0551	0.01737	0.08714	0.07478	953	948	0.99	13.3	3.9	0.0568	0.01697	0.07975	0.06637
7_10_6	0.67	754	752	1.0	12.7	4.0	0.05442	0.01748	0.08524	0.06354	1707	1700	1.0	13.0	3.9	0.05575	0.01723	0.08218	0.06517
7_10_6	0.58	1161	1159	1.0	12.3	4.1	0.05303	0.01764	0.08402	0.06499	2868	2859	1.0	12.7	4.0	0.05465	0.01745	0.08292	0.06509
7_10_6	0.5	2025	2019	1.0	11.9	4.2	0.05141	0.01821	0.08693	0.07239	4893	4878	1.0	12.4	4.1	0.05331	0.01784	0.08458	0.06823
7_10_6	0.42	3202	3186	1.0	10.7	4.4	0.0463	0.01907	0.0839	0.07657	8095	8064	1.0	11.7	4.3	0.05054	0.01865	0.08431	0.07164
7_10_6	0.33	5218	5167	0.99	9.3	4.6	0.04044	0.01983	0.08484	0.09466	13313	13231	0.99	10.8	4.6	0.04659	0.01974	0.08452	0.0814
