Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdenisty	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdenisty
5_6_1	0.67	1347	1344	1.0	13.0	6.3	0.0554	0.02628	3500	3496	1.0	14.0	6.4	0.05942	0.02708
5_6_1	0.58	1848	1842	1.0	11.6	5.9	0.04952	0.02508	5348	5338	1.0	13.2	6.3	0.05601	0.02682
5_6_1	0.5	2598	2580	0.99	10.0	5.6	0.04267	0.02384	7946	7918	1.0	12.1	6.3	0.05166	0.02663
5_6_1	0.42	3887	3831	0.99	8.5	5.1	0.03654	0.02193	11833	11749	0.99	11.0	6.2	0.04673	0.02617
5_6_1	0.33	6183	5984	0.97	6.6	4.4	0.02855	0.019	18016	17733	0.98	9.5	6.0	0.0406	0.02549
5_6_1	0.25	11415	10441	0.91	5.0	3.9	0.02168	0.0167	29431	28174	0.96	7.8	5.7	0.03359	0.0244
5_6_1	0.17	28545	21660	0.76	3.4	3.0	0.01498	0.01299	57976	49834	0.86	5.9	5.2	0.0255	0.02225
5_6_1	0.08	203423	17824	0.09	2.8	2.7	0.01269	0.01204	261399	67658	0.26	5.1	4.9	0.02213	0.02085
3_3_4	1.0	583	582	1.0	20.2	8.0	0.08551	0.03322	583	582	1.0	20.2	8.0	0.08551	0.03322
3_3_4	0.92	1038	1038	1.0	19.3	7.4	0.08192	0.03107	1621	1620	1.0	19.6	7.6	0.08321	0.03189
3_3_4	0.83	1614	1614	1.0	18.2	7.4	0.07723	0.03149	3235	3234	1.0	18.9	7.5	0.08023	0.03183
3_3_4	0.75	2106	2106	1.0	17.3	7.1	0.0737	0.0301	5341	5340	1.0	18.3	7.4	0.07765	0.03132
3_3_4	0.67	2738	2737	1.0	15.7	6.9	0.06675	0.029	8079	8077	1.0	17.4	7.3	0.07396	0.03098
3_3_4	0.58	3533	3531	1.0	14.0	6.4	0.05983	0.02728	11612	11608	1.0	16.4	7.2	0.06966	0.0306
3_3_4	0.5	4662	4650	1.0	12.2	6.0	0.05234	0.02572	16274	16258	1.0	15.2	7.2	0.06471	0.03032
3_3_4	0.42	6249	6196	0.99	10.2	5.5	0.04404	0.02353	22523	22454	1.0	13.8	7.1	0.059	0.03006
3_3_4	0.33	9286	9113	0.98	8.2	4.9	0.03576	0.02117	31809	31567	0.99	12.2	7.0	0.05229	0.02971
