Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_10_12	0.33	7016	6961	0.99	12.2	6.9	0.05272	0.03025	0.07006	0.0867	25756	25676	1.0	17.6	9.5	0.07536	0.04079	0.07075	0.06785
3_10_12	0.25	11497	11203	0.97	9.0	5.8	0.03983	0.02566	0.07211	0.11118	37253	36879	0.99	15.0	9.4	0.06457	0.04032	0.07116	0.08343
3_10_12	0.17	27972	24557	0.88	5.5	4.2	0.02453	0.01915	0.07665	0.1596	65225	61436	0.94	11.2	9.1	0.04857	0.03882	0.07335	0.11986
3_10_12	0.08	118767	6580	0.06	2.1	2.2	0.00979	0.01088	1.0	0.0	183992	68016	0.37	10.3	9.1	0.04481	0.03878	0.163	0.29667
3_8_15	1.0	287	287	1.0	27.7	11.0	0.11771	0.04645	0.05955	0.0334	287	287	1.0	27.7	11.0	0.11771	0.04645	0.05955	0.0334
3_8_15	0.92	624	624	1.0	28.8	10.4	0.12234	0.04393	0.05888	0.03506	911	911	1.0	28.4	10.6	0.12088	0.04477	0.05909	0.03453
3_8_15	0.83	1328	1328	1.0	26.8	10.4	0.11368	0.0441	0.06904	0.04222	2239	2239	1.0	27.5	10.5	0.11661	0.0445	0.06499	0.03957
3_8_15	0.75	1853	1853	1.0	24.4	9.8	0.10386	0.04198	0.07198	0.04506	4092	4092	1.0	26.1	10.3	0.11084	0.04384	0.06816	0.04228
3_8_15	0.67	2562	2562	1.0	22.6	9.8	0.09661	0.04204	0.0708	0.05085	6654	6654	1.0	24.8	10.3	0.10536	0.0437	0.06918	0.04578
3_8_15	0.58	3225	3225	1.0	20.6	9.1	0.08828	0.0393	0.07085	0.05512	9879	9879	1.0	23.4	10.1	0.09978	0.04306	0.06972	0.04903
3_8_15	0.5	4080	4075	1.0	18.0	8.7	0.07742	0.03752	0.07124	0.06217	13959	13954	1.0	21.8	10.0	0.09325	0.04275	0.07017	0.05321
3_8_15	0.42	5076	5056	1.0	15.2	7.9	0.06547	0.03406	0.06803	0.07142	19035	19010	1.0	20.1	9.9	0.08586	0.04243	0.0696	0.05861
3_8_15	0.33	7066	7010	0.99	12.6	7.3	0.05467	0.03178	0.06754	0.08513	26101	26020	1.0	18.1	9.9	0.07746	0.04218	0.06904	0.0668
3_8_15	0.25	11459	11164	0.97	9.3	6.1	0.04108	0.0271	0.07047	0.11016	37560	37184	0.99	15.4	9.8	0.06654	0.04175	0.06947	0.08226
3_8_15	0.17	27533	24209	0.88	5.6	4.4	0.02519	0.01999	0.0737	0.15611	65093	61393	0.94	11.6	9.4	0.05023	0.04027	0.07114	0.1171
3_8_15	0.08	115004	6286	0.05	2.0	2.0	0.00949	0.00998	1.0	0.0	180097	67679	0.38	10.7	9.4	0.04645	0.04025	0.15741	0.29177
3_10_15	1.0	295	295	1.0	27.6	10.9	0.11742	0.04547	0.0609	0.03266	295	295	1.0	27.6	10.9	0.11742	0.04547	0.0609	0.03266
3_10_15	0.92	621	621	1.0	28.7	10.5	0.12158	0.04421	0.06055	0.03666	916	916	1.0	28.3	10.6	0.12024	0.04463	0.06066	0.0354
3_10_15	0.83	1313	1313	1.0	26.5	10.1	0.11235	0.04289	0.06877	0.04259	2229	2229	1.0	27.3	10.4	0.11559	0.04378	0.06544	0.03999
3_10_15	0.75	1835	1833	1.0	24.3	9.7	0.10355	0.04179	0.07166	0.04352	4064	4062	1.0	25.9	10.2	0.11016	0.0433	0.06825	0.04173
3_10_15	0.67	2509	2508	1.0	22.7	9.8	0.09707	0.04208	0.07163	0.05197	6573	6570	1.0	24.7	10.2	0.10516	0.04331	0.06954	0.04594
3_10_15	0.58	3186	3186	1.0	20.4	8.9	0.08746	0.03818	0.07217	0.05689	9759	9756	1.0	23.3	10.0	0.09938	0.04252	0.0704	0.04979
3_10_15	0.5	3923	3920	1.0	17.9	8.6	0.07696	0.03757	0.07198	0.06338	13682	13676	1.0	21.8	9.9	0.09295	0.04239	0.07085	0.05404
3_10_15	0.42	5035	5019	1.0	15.1	7.9	0.06529	0.03443	0.07017	0.07132	18717	18695	1.0	20.0	9.9	0.08553	0.04222	0.07067	0.05917
3_10_15	0.33	6965	6905	0.99	12.4	7.1	0.05361	0.03102	0.06894	0.08658	25682	25600	1.0	17.9	9.8	0.07692	0.04198	0.0702	0.06767
3_10_15	0.25	11445	11149	0.97	9.4	6.1	0.04124	0.02721	0.07164	0.11053	37127	36749	0.99	15.3	9.7	0.06609	0.04149	0.07064	0.08305
3_10_15	0.17	27476	24122	0.88	5.6	4.4	0.02518	0.02009	0.07646	0.15881	64603	60871	0.94	11.5	9.3	0.04988	0.03999	0.07295	0.11902
3_10_15	0.08	115471	6395	0.06	2.1	2.2	0.00985	0.0111	1.0	0.0	180074	67266	0.37	10.6	9.3	0.04607	0.03996	0.16108	0.29455
3_15_20	1.0	302	302	1.0	27.0	11.2	0.11479	0.04757	0.06049	0.03351	302	302	1.0	27.0	11.2	0.11479	0.04757	0.06049	0.03351
3_15_20	0.92	588	588	1.0	28.6	10.6	0.12106	0.04441	0.06011	0.03464	890	890	1.0	28.0	10.8	0.11893	0.04558	0.06024	0.03424
3_15_20	0.83	1296	1295	1.0	26.6	10.4	0.11281	0.04429	0.07011	0.04212	2186	2185	1.0	27.2	10.6	0.11531	0.04491	0.06609	0.03939
3_15_20	0.75	1775	1775	1.0	24.5	10.1	0.10428	0.04332	0.07174	0.04385	3961	3960	1.0	26.0	10.5	0.11036	0.04453	0.06862	0.04154
3_15_20	0.67	2442	2441	1.0	22.8	9.7	0.09738	0.04194	0.07191	0.05249	6403	6401	1.0	24.8	10.3	0.10541	0.04401	0.06988	0.04605
3_15_20	0.58	3017	3017	1.0	20.2	8.8	0.08648	0.03748	0.07293	0.05754	9420	9418	1.0	23.3	10.0	0.09935	0.04295	0.07085	0.05003
3_15_20	0.5	3831	3824	1.0	18.0	8.8	0.07734	0.03797	0.07503	0.06596	13251	13242	1.0	21.8	10.0	0.09299	0.04275	0.07206	0.05514
3_15_20	0.42	4892	4872	1.0	15.1	8.0	0.06519	0.03462	0.07162	0.07162	18143	18114	1.0	20.0	9.9	0.08552	0.04255	0.07194	0.06002
3_15_20	0.33	6885	6830	0.99	12.6	7.4	0.05455	0.0324	0.07077	0.08805	25028	24944	1.0	18.0	9.9	0.07704	0.04234	0.07162	0.06884
3_15_20	0.25	11409	11112	0.97	9.4	6.3	0.04129	0.02791	0.07321	0.11347	36437	36056	0.99	15.3	9.8	0.06602	0.04186	0.07211	0.08512
3_15_20	0.17	27392	24092	0.88	5.7	4.6	0.02562	0.02099	0.07866	0.16083	63829	60148	0.94	11.5	9.4	0.04984	0.04024	0.07473	0.1213
3_15_20	0.08	115731	6545	0.06	2.2	2.5	0.0104	0.01273	1.0	0.0	179560	66693	0.37	10.5	9.3	0.04597	0.04017	0.16554	0.2984
3_6_20	1.0	295	295	1.0	27.8	10.9	0.11832	0.04631	0.06007	0.03553	295	295	1.0	27.8	10.9	0.11832	0.04631	0.06007	0.03553
3_6_20	0.92	655	655	1.0	29.7	10.9	0.12604	0.04586	0.06058	0.03545	950	950	1.0	29.1	11.0	0.12364	0.04611	0.06042	0.03546
3_6_20	0.83	1365	1365	1.0	27.2	10.5	0.11495	0.04447	0.06796	0.04267	2315	2315	1.0	28.0	10.8	0.11852	0.04535	0.06487	0.04003
