Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_2_4	0.17	34358	29194	0.85	3.4	2.0	0.01528	0.009	0.07174	0.15652	52701	46957	0.89	4.0	2.2	0.01775	0.00971	0.07161	0.13833
3_2_4	0.08	172691	8285	0.05	1.6	1.1	0.00704	0.0049	1.0	0.0	225392	55242	0.25	3.7	2.2	0.01614	0.00992	0.21085	0.35517
4_1_3	1.0	5	5	1.0	6.4	0.5	0.0278	0.00235	0.09163	0.05485	5	5	1.0	6.4	0.5	0.0278	0.00235	0.09163	0.05485
4_1_3	0.92	4	4	1.0	6.2	1.0	0.02705	0.00411	0.11534	0.03711	9	9	1.0	6.3	0.7	0.02747	0.00304	0.10217	0.04666
4_1_3	0.83	40	40	1.0	5.7	1.4	0.02443	0.00721	0.12747	0.09309	49	49	1.0	5.8	1.3	0.02498	0.00672	0.12283	0.08661
4_1_3	0.75	74	74	1.0	5.6	1.5	0.02401	0.00631	0.09996	0.09935	123	123	1.0	5.7	1.4	0.0244	0.00646	0.10907	0.09478
4_1_3	0.67	175	173	0.99	5.2	1.8	0.02234	0.00792	0.10146	0.10447	298	296	0.99	5.4	1.7	0.0232	0.00741	0.10462	0.10047
4_1_3	0.58	398	398	1.0	5.3	1.6	0.02313	0.00707	0.09081	0.07492	696	694	1.0	5.4	1.6	0.02316	0.00721	0.0967	0.08694
4_1_3	0.5	799	794	0.99	5.2	1.6	0.02262	0.00696	0.08187	0.07372	1495	1488	1.0	5.3	1.6	0.02287	0.00708	0.08879	0.08047
4_1_3	0.42	1920	1903	0.99	5.0	1.7	0.02167	0.00772	0.07087	0.07777	3415	3391	0.99	5.1	1.7	0.0222	0.00747	0.07873	0.07946
4_1_3	0.33	4179	4090	0.98	4.6	1.8	0.0202	0.00796	0.07012	0.08978	7594	7481	0.99	4.9	1.8	0.0211	0.0078	0.07402	0.08536
4_1_3	0.25	10103	9572	0.95	4.0	1.9	0.01772	0.00826	0.06993	0.11302	17697	17053	0.96	4.4	1.9	0.0192	0.00824	0.07172	0.10183
4_1_3	0.17	34923	29215	0.84	3.1	1.8	0.01361	0.00778	0.07184	0.15443	52620	46268	0.88	3.6	1.9	0.01567	0.0084	0.0718	0.13741
4_1_3	0.08	189324	8674	0.05	1.4	0.9	0.00626	0.00409	1.0	0.0	241944	54942	0.23	3.2	2.0	0.01418	0.00859	0.21834	0.36118
3_3_4	1.0	7	7	1.0	6.7	1.0	0.02872	0.00463	0.08559	0.04545	7	7	1.0	6.7	1.0	0.02872	0.00463	0.08559	0.04545
3_3_4	0.92	5	5	1.0	7.2	1.3	0.03118	0.0057	0.06016	0.0414	12	12	1.0	6.9	1.1	0.02974	0.00501	0.07499	0.04383
3_3_4	0.83	39	39	1.0	6.3	1.6	0.02694	0.00736	0.0981	0.08517	51	51	1.0	6.4	1.5	0.0276	0.00694	0.09266	0.07768
3_3_4	0.75	109	109	1.0	6.4	1.7	0.02784	0.00769	0.09631	0.05731	160	160	1.0	6.4	1.6	0.02776	0.00743	0.09515	0.06427
3_3_4	0.67	228	227	1.0	6.0	2.0	0.02592	0.00868	0.1014	0.09007	388	387	1.0	6.2	1.8	0.02668	0.00823	0.09882	0.08038
3_3_4	0.58	392	391	1.0	6.2	1.7	0.02637	0.0074	0.08626	0.07222	780	778	1.0	6.2	1.8	0.02652	0.00782	0.09251	0.0766
3_3_4	0.5	905	901	1.0	5.9	1.9	0.0253	0.00826	0.07816	0.07536	1685	1679	1.0	6.0	1.8	0.02587	0.00808	0.08481	0.07625
3_3_4	0.42	1855	1834	0.99	5.6	1.9	0.02412	0.00854	0.07318	0.07824	3540	3513	0.99	5.8	1.9	0.02495	0.00836	0.07874	0.0775
3_3_4	0.33	4141	4065	0.98	5.3	2.1	0.02289	0.00917	0.07075	0.09015	7681	7578	0.99	5.5	2.0	0.02385	0.00887	0.07445	0.08461
3_3_4	0.25	9866	9422	0.95	4.6	2.2	0.02018	0.00975	0.07409	0.11622	17547	17000	0.97	5.0	2.1	0.02181	0.00954	0.07425	0.10333
3_3_4	0.17	33670	28554	0.85	3.4	2.0	0.01527	0.00902	0.07689	0.16166	51217	45554	0.89	4.0	2.2	0.01771	0.00975	0.07591	0.14271
3_3_4	0.08	170936	8927	0.05	1.7	1.3	0.00772	0.00576	1.0	0.0	222153	54481	0.25	3.6	2.2	0.01607	0.00993	0.22732	0.3661
4_1_4	1.0	10	10	1.0	6.5	1.6	0.02784	0.00748	0.08717	0.052	10	10	1.0	6.5	1.6	0.02784	0.00748	0.08717	0.052
4_1_4	0.92	7	7	1.0	6.4	1.9	0.02738	0.00792	0.12421	0.10604	17	17	1.0	6.5	1.7	0.02765	0.00742	0.10243	0.07804
4_1_4	0.83	55	54	0.98	5.9	2.0	0.02475	0.00857	0.09804	0.09097	72	71	0.99	6.0	1.9	0.02544	0.00835	0.09909	0.08753
4_1_4	0.75	116	116	1.0	6.5	1.6	0.02814	0.00702	0.10378	0.08825	188	187	0.99	6.3	1.7	0.02711	0.00765	0.102	0.08777
4_1_4	0.67	213	212	1.0	6.0	1.9	0.02554	0.00832	0.09183	0.08471	401	399	1.0	6.1	1.8	0.02628	0.00804	0.0966	0.0862
4_1_4	0.58	463	462	1.0	6.0	1.8	0.02619	0.00828	0.08783	0.07463	864	861	1.0	6.1	1.8	0.02623	0.00817	0.09189	0.08027
4_1_4	0.5	919	915	1.0	5.9	1.9	0.02554	0.00823	0.08073	0.07493	1783	1776	1.0	6.0	1.8	0.02588	0.0082	0.08614	0.07775
4_1_4	0.42	1982	1966	0.99	5.6	1.9	0.0241	0.00863	0.07281	0.07877	3765	3742	0.99	5.8	1.9	0.02494	0.00847	0.07914	0.07856
4_1_4	0.33	4291	4210	0.98	5.2	2.1	0.02278	0.00914	0.06571	0.08767	8056	7952	0.99	5.5	2.0	0.02379	0.0089	0.07203	0.08377
4_1_4	0.25	10048	9593	0.95	4.6	2.1	0.02015	0.00961	0.06784	0.1116	18104	17545	0.97	5.0	2.1	0.0218	0.00947	0.06974	0.09997
4_1_4	0.17	33004	28074	0.85	3.4	2.0	0.01533	0.009	0.06786	0.14921	51108	45619	0.89	4.0	2.2	0.01782	0.00971	0.06859	0.13246
4_1_4	0.08	166171	7473	0.04	1.4	0.9	0.00627	0.00421	1.0	0.0	217279	53092	0.24	3.7	2.3	0.01619	0.00998	0.19969	0.34641
3_4_4	1.0	7	7	1.0	6.6	1.1	0.02843	0.00512	0.08715	0.03872	7	7	1.0	6.6	1.1	0.02843	0.00512	0.08715	0.03872
3_4_4	0.92	6	6	1.0	7.2	1.2	0.03103	0.00511	0.05875	0.03719	13	13	1.0	6.8	1.1	0.02963	0.00508	0.07404	0.03928
3_4_4	0.83	40	40	1.0	6.0	1.9	0.02634	0.00879	0.11043	0.10757	53	53	1.0	6.2	1.8	0.02715	0.00812	0.10151	0.09635
3_4_4	0.75	109	109	1.0	6.4	1.8	0.02752	0.00765	0.09044	0.05414	162	162	1.0	6.4	1.8	0.0274	0.00779	0.09406	0.07065
3_4_4	0.67	213	212	1.0	6.0	2.0	0.02557	0.0086	0.10131	0.08891	375	374	1.0	6.1	1.9	0.02636	0.0083	0.09817	0.08148
3_4_4	0.58	378	378	1.0	6.1	1.8	0.0262	0.00747	0.08736	0.07664	753	752	1.0	6.1	1.8	0.02628	0.00789	0.09274	0.07921
3_4_4	0.5	847	844	1.0	5.9	1.8	0.02554	0.00829	0.08178	0.07795	1600	1596	1.0	6.0	1.8	0.02589	0.00811	0.08694	0.07871
3_4_4	0.42	1772	1752	0.99	5.6	1.9	0.02411	0.00859	0.07494	0.08409	3372	3348	0.99	5.8	1.9	0.02496	0.00841	0.08066	0.08178
3_4_4	0.33	3901	3825	0.98	5.2	2.1	0.02277	0.00916	0.07496	0.0975	7273	7173	0.99	5.5	2.0	0.02379	0.00888	0.07762	0.09054
3_4_4	0.25	9408	8982	0.95	4.6	2.2	0.0201	0.00966	0.07672	0.11828	16681	16155	0.97	5.0	2.1	0.02174	0.0095	0.07712	0.10686
3_4_4	0.17	32781	27777	0.85	3.4	2.0	0.01527	0.00906	0.07968	0.16435	49462	43932	0.89	4.0	2.2	0.01765	0.00974	0.07874	0.14587
3_4_4	0.08	168469	9163	0.05	1.8	1.4	0.00825	0.00653	1.0	0.0	217931	53095	0.24	3.6	2.2	0.01602	0.00992	0.23773	0.37256
3_5_3	1.0	4	4	1.0	6.0	0.8	0.0259	0.00385	0.08562	0.01846	4	4	1.0	6.0	0.8	0.0259	0.00385	0.08562	0.01846
3_5_3	0.92	4	4	1.0	5.5	1.0	0.02322	0.00466	0.12546	0.06575	8	8	1.0	5.8	0.9	0.02456	0.00421	0.10554	0.04952
3_5_3	0.83	36	36	1.0	5.3	1.5	0.02348	0.00792	0.11332	0.0963	44	44	1.0	5.4	1.4	0.02367	0.00736	0.1119	0.0892
3_5_3	0.75	73	72	0.99	5.6	1.5	0.02397	0.0065	0.09448	0.06493	117	116	0.99	5.5	1.5	0.02386	0.00681	0.10109	0.07517
3_5_3	0.67	159	159	1.0	5.2	1.8	0.02243	0.00783	0.10388	0.09371	276	275	1.0	5.3	1.6	0.02303	0.00744	0.10271	0.08624
3_5_3	0.58	275	275	1.0	5.4	1.5	0.0231	0.0065	0.09183	0.08048	551	550	1.0	5.3	1.6	0.02307	0.00698	0.09727	0.08351
3_5_3	0.5	673	669	0.99	5.2	1.6	0.02248	0.00684	0.0874	0.09342	1224	1219	1.0	5.3	1.6	0.02274	0.0069	0.09185	0.08918
